id,author,name,image,text,cooking_time
100,103,сырники,images/sirnik.pdf,"Для приготовления сырников Вам понадобятся творог, яйцо, сахар, мука и соль. Сначала смешайте творог с яйцом, добавьте сахар и щепотку соли. Затем постепенно добавляйте муку и замешивайте тесто. Сформируйте из теста небольшие лепешки и обжарьте их на сковороде до золотистой корочки. Подавайте сырники с йогуртом, сметаной или вареньем. Приятного аппетита!",123
120,102,борщ,images/borsch.pdf,"1. Говядину нарежьте кубиками и обжарьте на сковороде до золотистой корочки.\n  2. Добавьте нарезанный лук, морковь, свеклу, перец и тушите все вместе до мягкости.\n  3. В большой кастрюле варите нарезанный картофель, лавровый лист, нарезанные помидоры и чеснок.\n  4. Добавьте обжаренное мясо с овощами в кастрюлю к остальным ингредиентам.\n  5. Тушите все вместе до готовности, приправьте солью, перцем, добавьте нарезанную капусту.\n  6. Подавайте борщ горячим с ложкой сметаны и зеленью. Приятного аппетита!",180
130,103,шашлык,images/shashlyk.pdf,рецепт шашлыка,240
110,101,рецепт пирожков,пироimages/pirog.pdf,"1. В большой mixing bowl, смешайте муку, закваску, сахар и соль. \n 2. В другой bowl, взбейте яйцо, добавьте молоко и растительное масло, и хорошо перемешайте. \n 3. Добавьте жидкость в сухие ингредиенты и перемешайте, чтобы получилась однородная, но не липкая тесто. \n 4. Разогрейте сковородку или сковороду нам огне. \n 5. Намажьте маслом или смазкой сковородку, чтобы пирожки не прилипали. \n 6. Налейте тесто на сковороду, используя ложку или специальный распределитель теста. \n 7. Пока пирожки готовятся, добавьте варенье или начинку на одну половину каждого пирожка. \n 8. После того, как пирожки потемнеют и запекнутся снизу (примерно 2-3 минуты), сверните их пополам, чтобы закрыть начинку. \n 9. Готовьте пирожки до полного приготовления, переворачивая их, чтобы обе стороны были хрустящими и золотистыми.10. Уберите пирожки с огня и дайте им немного остыть перед тем, как подавать на стол.",90
140,104,салат,images/salad.pdf,рецепт салата,45
150,105,суп,images/soup.pdf,рецепт супа,60
160,105,пицца,images/pizza.pdf,рецепт пиццы,34
170,104,торт,images/cake.pdf,рецепт торта,210
180,104,салат Цезарь,images/caesar_salad.pdf,рецепт салата Цезарь,60
190,102,фаршированный краб,images/stuffed_crab.pdf,рецепт фаршированного краба,150
200,102,свиное похлёбка,images/pork_stew.pdf,рецепт свиного похлёбки,180
210,102,греческий салат,images/greek_salad.pdf,рецепт греческого салата,30
220,100,мясо по-французски,images/beef_bourguignon.pdf,рецепт мясо по-французски,240
230,103,суп по-китайски,images/chinese_soup.pdf,рецепт суп по-китайски,90
240,104,фруктовый салат,images/fruit_salad.pdf,рецепт фруктового салата,30
250,105,компот,images/compote.pdf,рецепт компота,120
260,102,плов,images/plov.pdf,рецепт плов,180
270,103,плов,images/plov.pdf,рецепт плов,180
